"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043065","GO:0043065","positive regulation of apoptotic process","42/483","484/18842",0.0867768595041322,3.38519583183615,8.62253704776445,5.33378851126194e-12,3.13626764462202e-08,3.13626764462202e-08,"CAV1/CLU/ATF3/DDIT3/TP53BP2/TSC22D1/MOAP1/TNFSF14/IFNG/SFPQ/INHBA/CAPN2/RAPGEF2/F2R/PPARG/ITGA6/NET1/ATF4/HPGD/MCL1/GADD45A/STK17B/CFLAR/BCL2A1/F3/PRKCI/S100A8/IDO1/CRADD/TGM2/PAWR/FAS/PHLDA1/LCK/EEF1E1/PMAIP1/TXNIP/FCAR/RACK1/ANXA1/PHLDA2/BTG1",42
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","32/483","317/18842",0.100946372239748,3.9379535108516,8.55650624011294,4.22131387897861e-11,1.24106628041971e-07,1.24106628041971e-07,"CAV1/CLU/ATF3/DDIT3/TNFSF14/SFPQ/INHBA/NOS3/CD44/PPARG/ITGA6/MIF/ACVR1/ATF4/NME5/MCL1/CFLAR/KLF4/FGF2/S100A8/CRADD/FAS/LCK/HSPA1B/PPEF1/CSF2/PMAIP1/FYN/TNFAIP3/RACK1/PEA15/NR4A2",32
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway","23/483","186/18842",0.123655913978495,4.82386072708653,8.50061409452737,4.66880628333751e-10,9.15086031534153e-07,9.15086031534153e-07,"CAV1/ATF3/MOAP1/TNFSF14/IFNG/INHBA/NOS3/ITGA6/ACVR1/HIPK1/MCL1/IFI27/CFLAR/KLF4/BCL2A1/CRADD/FAS/HSPA1B/CSF2/PMAIP1/FYN/TNFAIP3/PEA15",23
"GO:0001819","GO:0001819","positive regulation of cytokine production","39/483","499/18842",0.0781563126252505,3.04890526394404,7.5238130756059,6.92747925191852e-10,1.01833945003202e-06,1.01833945003202e-06,"RSAD2/RAB1A/ADAM17/CLU/ATP6AP2/DDIT3/FCGR3A/CD2/POLR3G/IFNG/SLC11A1/AIM2/ITK/PTPN11/F2R/CEBPG/RIOK3/MIF/ATF4/LPL/CCR7/TRAF3IP2/F3/MMP12/CD55/BMPR1A/DDX21/HSPA1B/CSF2/NMB/IL15/PDE4D/IL1RAP/MALT1/AKIRIN2/EIF2AK2/GAPDH/NR4A3/ANXA1",39
"GO:1903131","GO:1903131","mononuclear cell differentiation","36/483","439/18842",0.082004555808656,3.19902658498281,7.56170022171452,8.86454559844208e-10,1.04247056237679e-06,1.04247056237679e-06,"RSAD2/ADAM17/IL1R2/NFIL3/AXL/ST3GAL1/CD2/GPR183/FLT3/PCK1/VEGFA/ICOS/CSF1/IFNG/KLF6/ITK/INHBA/RHOH/PPARG/CEBPG/ACTB/CAMK4/CCR7/CD3D/CFLAR/TRAF3IP2/LAG3/LCK/CSF2/IL15/NR3C1/IL1RAP/MALT1/ZBTB1/CDC42/ANXA1",36
"GO:0048545","GO:0048545","response to steroid hormone","29/483","317/18842",0.0914826498422713,3.56877036920927,7.48129594711838,3.48511108992072e-09,3.4154088681223e-06,3.4154088681223e-06,"CAV1/CCND1/BMP6/KLF9/HSPA8/FLT3/PCK1/CNOT9/INHBA/CFLAR/AREG/IL1RN/PLPP1/VDR/GRM5/SRD5A1/HSPA1B/TMF1/TXNIP/CSN1S1/CRY1/NR3C1/JUN/STRN3/NR4A3/ANXA1/ATP1A1/SPP1/LOX",29
"GO:0031669","GO:0031669","cellular response to nutrient levels","23/483","233/18842",0.0987124463519313,3.85080727569998,7.10207624378563,3.66704219956518e-08,2.74980367713898e-05,2.74980367713898e-05,"KLF10/CAV1/MAP1LC3B/ATF3/HSPA8/RHEB/INHBA/CDKN1A/UPP1/ATF4/ALB/LPL/GABARAPL1/PIM1/VDR/PRKCH/PLIN2/FAS/SRD5A1/PMAIP1/YME1L1/EIF2AK2/ASNS",23
"GO:0031667","GO:0031667","response to nutrient levels","34/483","461/18842",0.0737527114967462,2.87711923399936,6.61848797525187,3.74122949270609e-08,2.74980367713898e-05,2.74980367713898e-05,"KLF10/CAV1/CCND1/MAP1LC3B/ATF3/FBP1/DDIT3/HSPA8/RHEB/PCK1/EIF2A/INHBA/OTC/CDKN1A/PPARG/CYP1A1/PRL/MBD2/UPP1/ATF4/ALB/LPL/GABARAPL1/PIM1/VDR/PRKCH/PLIN2/FAS/SRD5A1/PMAIP1/YME1L1/EIF2AK2/ASNS/SPP1",34
"GO:0001776","GO:0001776","leukocyte homeostasis","13/483","75/18842",0.173333333333333,6.76179434092478,8.10946094579668,5.22691911233629e-08,3.41492048672638e-05,3.41492048672638e-05,"ADAM17/GPR183/FLT3/TNFSF14/AIM2/MIF/TRAF3IP2/FAS/PMAIP1/TNFAIP3/FCAR/ANXA1/TSC22D3",13
"GO:0002274","GO:0002274","myeloid leukocyte activation","22/483","222/18842",0.0990990990990991,3.86589073545595,6.96702400123287,6.78037408170387e-08,3.98685996004188e-05,3.98685996004188e-05,"CLU/S100A12/FCGR3A/CD2/CSF1/IFNG/SLC11A1/FN1/PTPN11/RHOH/ITGAM/MIF/CAMK4/TRAF3IP2/PTPRE/CSF2/CST7/FCAR/IL15/IL1RAP/NR4A3/ANXA1",22
"GO:0042594","GO:0042594","response to starvation","21/483","206/18842",0.101941747572816,3.97678345293373,6.96795811527166,8.30443288604025e-08,4.41980168660094e-05,4.41980168660094e-05,"KLF10/CAV1/MAP1LC3B/ATF3/DDIT3/HSPA8/PCK1/EIF2A/CDKN1A/UPP1/ATF4/ALB/GABARAPL1/PRKCH/PLIN2/FAS/SRD5A1/PMAIP1/YME1L1/EIF2AK2/ASNS",21
"GO:0061687","GO:0061687","detoxification of inorganic compound","8/483","24/18842",0.333333333333333,13.0034506556246,9.5439032808082,9.02000344204273e-08,4.41980168660094e-05,4.41980168660094e-05,"ABCG2/MT1A/TXN/SLC11A1/SLC39A8/MT1H/MT1E/MT1X",8
"GO:2001235","GO:2001235","positive regulation of apoptotic signaling pathway","15/483","109/18842",0.137614678899083,5.36839705966152,7.4187838480634,1.21823686867307e-07,5.51017906753665e-05,5.51017906753665e-05,"CAV1/CLU/ATF3/DDIT3/TNFSF14/SFPQ/INHBA/PPARG/MCL1/S100A8/CRADD/FAS/LCK/PMAIP1/RACK1",15
"GO:2001236","GO:2001236","regulation of extrinsic apoptotic signaling pathway","16/483","127/18842",0.125984251968504,4.91469001157464,7.17968435883438,1.62446256729495e-07,6.82274278263879e-05,6.82274278263879e-05,"CAV1/ATF3/TNFSF14/INHBA/NOS3/ITGA6/ACVR1/MCL1/CFLAR/KLF4/HSPA1B/CSF2/PMAIP1/FYN/TNFAIP3/PEA15",16
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","20/483","199/18842",0.100502512562814,3.92063838863052,6.71811535770242,2.13163959555505e-07,7.85341109758129e-05,7.85341109758129e-05,"CLU/NOS3/CD44/ITGA6/MIF/ACVR1/ATF4/NME5/MCL1/CFLAR/KLF4/FGF2/HSPA1B/PPEF1/CSF2/FYN/TNFAIP3/RACK1/PEA15/NR4A2",20
"GO:0007249","GO:0007249","canonical NF-kappaB signal transduction","27/483","339/18842",0.079646017699115,3.10701918320233,6.34962816295457,2.13698261158674e-07,7.85341109758129e-05,7.85341109758129e-05,"CAV1/S100A12/VEGFA/TNFSF14/SLC39A8/RHOH/F2R/REL/RIOK3/GJA1/NFKB2/PRL/NR2C2/SLC20A1/NAMPT/CCR7/CFLAR/KLF4/TRAF3IP2/DDX21/DHX15/HSPA1B/TNFAIP3/IL1RAP/MALT1/EIF2AK2/GAPDH",27
"GO:0043122","GO:0043122","regulation of canonical NF-kappaB signal transduction","26/483","326/18842",0.0797546012269939,3.11125506484269,6.237017285334,3.49877793790094e-07,0.000116347859444718,0.000116347859444718,"CAV1/S100A12/VEGFA/TNFSF14/SLC39A8/RHOH/F2R/REL/RIOK3/GJA1/PRL/NR2C2/SLC20A1/NAMPT/CCR7/CFLAR/KLF4/TRAF3IP2/DDX21/DHX15/HSPA1B/TNFAIP3/IL1RAP/MALT1/EIF2AK2/GAPDH",26
"GO:0045785","GO:0045785","positive regulation of cell adhesion","31/483","437/18842",0.0709382151029748,2.76732473906884,6.0630366517385,3.56166916667505e-07,0.000116347859444718,0.000116347859444718,"CAV1/HLA-DOB/PCK1/VEGFA/ICOS/TNFSF14/CSF1/IFNG/FN1/PTPN11/STX3/ADAM19/CD44/S100A10/RHOH/ACTB/ROCK1/CCR7/CD55/NEDD9/TGM2/ABL2/ANKRD28/LCK/FYN/IL15/MALT1/ZBTB1/CDC42/NR4A3/ANXA1",31
"GO:0043123","GO:0043123","positive regulation of canonical NF-kappaB signal transduction","21/483","226/18842",0.0929203539823009,3.62485571373605,6.43898627310535,3.9878763719988e-07,0.000123414279301857,0.000123414279301857,"CAV1/S100A12/VEGFA/TNFSF14/F2R/REL/GJA1/PRL/NR2C2/SLC20A1/NAMPT/CCR7/CFLAR/TRAF3IP2/DDX21/DHX15/HSPA1B/IL1RAP/MALT1/EIF2AK2/GAPDH",21
"GO:0009267","GO:0009267","cellular response to starvation","18/483","171/18842",0.105263157894737,4.10635283861828,6.61859914684411,4.34107382694484e-07,0.000127627570512178,0.000127627570512178,"KLF10/CAV1/MAP1LC3B/ATF3/HSPA8/CDKN1A/UPP1/ATF4/ALB/GABARAPL1/PRKCH/PLIN2/FAS/SRD5A1/PMAIP1/YME1L1/EIF2AK2/ASNS",18
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","24/483","294/18842",0.0816326530612245,3.18451852790806,6.12324847980481,6.51829327083789e-07,0.000182512211583461,0.000182512211583461,"CRIP1/DDIT4/CAV1/CLU/DDIT3/TP53BP2/MOAP1/SFPQ/CD44/CDKN1A/MIF/HIPK1/ATF4/NME5/MCL1/IFI27/BCL2A1/FGF2/S100A8/LCK/PPEF1/PMAIP1/FYN/RACK1",24
"GO:0048872","GO:0048872","homeostasis of number of cells","20/483","214/18842",0.0934579439252336,3.64582728662371,6.3137341655918,6.87121134276065e-07,0.000183648739524694,0.000183648739524694,"ADAM17/GPR183/FLT3/VEGFA/TNFSF14/AIM2/INHBA/NOS3/F2R/CEBPG/MIF/TRAF3IP2/EPB42/FAS/HSPA1B/PMAIP1/TNFAIP3/FCAR/ANXA1/TSC22D3",20
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","24/483","300/18842",0.08,3.1208281573499,6.00604869433457,9.36652845148336e-07,0.000239457336064009,0.000239457336064009,"MARCO/ATF3/GPR183/VEGFA/FN1/PTPN11/INHBA/RAPGEF2/CD44/F2R/MIF/SPRY2/SPRY1/NAMPT/PDGFA/CCR7/DUSP5/CFLAR/KLF4/FGF2/DUSP4/EZR/ADRA1A/GBP1",24
"GO:0050867","GO:0050867","positive regulation of cell activation","26/483","345/18842",0.0753623188405797,2.93991058301077,5.89850077479912,1.03037959638568e-06,0.000252443001114492,0.000252443001114492,"CAV1/AXL/TNFRSF4/FCGR3A/CD2/GPR183/HLA-DOB/PCK1/ICOS/TNFSF14/PTPN11/RHOH/MIF/ACTB/CCR7/CD55/GP5/ABL2/LCK/FYN/IL15/MALT1/AKIRIN2/ZBTB1/NR4A3/ANXA1",26
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","25/483","325/18842",0.0769230769230769,3.00079630514413,5.90147094335446,1.14545552782045e-06,0.00026941114014337,0.00026941114014337,"CAV1/AXL/TNFRSF4/FCGR3A/CD2/GPR183/HLA-DOB/PCK1/ICOS/TNFSF14/PTPN11/RHOH/MIF/ACTB/CCR7/CD55/ABL2/LCK/FYN/IL15/MALT1/AKIRIN2/ZBTB1/NR4A3/ANXA1",25
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","23/483","283/18842",0.0812720848056537,3.17045263335016,5.96715437620027,1.20333485876141e-06,0.000272138806519888,0.000272138806519888,"MARCO/ATF3/GPR183/VEGFA/FN1/PTPN11/INHBA/RAPGEF2/CD44/F2R/MIF/SPRY2/SPRY1/NAMPT/PDGFA/CCR7/CFLAR/KLF4/FGF2/DUSP4/EZR/ADRA1A/GBP1",23
"GO:0061615","GO:0061615","glycolytic process through fructose-6-phosphate","7/483","24/18842",0.291666666666667,11.3780193236715,8.25152829074763,1.65119098696717e-06,0.000359592703828405,0.000359592703828405,"PKM/PFKP/ENO2/PGAM1/HK2/PFKFB1/GAPDH",7
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","23/483","289/18842",0.0795847750865052,3.10463008732905,5.84815201510648,1.72490960579006e-06,0.000362231017215914,0.000362231017215913,"CAV1/AXL/TNFRSF4/FCGR3A/GPR183/HLA-DOB/PCK1/ICOS/TNFSF14/PTPN11/RHOH/MIF/ACTB/CCR7/CD55/ABL2/LCK/FYN/IL15/MALT1/AKIRIN2/ZBTB1/ANXA1",23
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","28/483","402/18842",0.0696517412935323,2.71713894296633,5.64467621189668,1.88972922810182e-06,0.000383158891766852,0.000383158891766852,"CAV1/HLA-DOB/PCK1/ICOS/TNFSF14/PTPN11/SLC39A8/CD44/RHOH/ITGAM/ICAM2/ACTB/ROCK1/CCR7/KLF4/CD55/S100A8/LAG3/EZR/ABL2/LCK/ITGB7/FYN/IL15/MALT1/ZBTB1/NR4A3/ANXA1",28
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","29/483","428/18842",0.0677570093457944,2.64322478280219,5.57758015980614,2.14667642978843e-06,0.000406546232930125,0.000406546232930125,"MARCO/S100A12/GPR183/FLT3/FLT1/VEGFA/PTPN11/INHBA/RAPGEF2/CD44/F2R/MIF/NR2C2/SPRY2/ROCK1/NAMPT/PDGFA/CCR7/GADD45A/FZD7/CFLAR/FGF2/GRM5/IL2RB/IL15/ADRA1A/IL1RAP/EIF2AK2/FGF9",29
"GO:0006007","GO:0006007","glucose catabolic process","7/483","25/18842",0.28,10.9228985507246,8.05256784182483,2.24288768504963e-06,0.000406546232930125,0.000406546232930125,"PKM/PFKP/ENO2/PGAM1/HK2/TKTL1/GAPDH",7
"GO:0038093","GO:0038093","Fc receptor signaling pathway","10/483","59/18842",0.169491525423729,6.61192406218198,7.0025519842946,2.27510594305155e-06,0.000406546232930125,0.000406546232930125,"FCGR3A/SOS1/IFNG/PLA2G6/MAPK10/LCK/FYN/FCAR/CD247/NR4A3",10
"GO:0051249","GO:0051249","regulation of lymphocyte activation","30/483","453/18842",0.0662251655629139,2.58346701767376,5.53324748954015,2.28163702154662e-06,0.000406546232930125,0.000406546232930125,"CAV1/AXL/TNFRSF4/FCGR3A/CD2/GPR183/HLA-DOB/PCK1/ICOS/TNFSF14/KLRD1/PTPN11/INHBA/RHOH/MIF/ACTB/CAMK4/CCR7/CD55/NEDD9/LAG3/ABL2/LCK/FYN/TNFAIP3/IL15/MALT1/AKIRIN2/ZBTB1/ANXA1",30
"GO:0045446","GO:0045446","endothelial cell differentiation","13/483","104/18842",0.125,4.87629399585921,6.42943470425102,2.57023650450566e-06,0.000444499724896861,0.000444499724896861,"BMP6/VEGFA/RBPJ/RAPGEF2/ZEB1/ACVR1/RAP1B/ROCK1/EZR/FSTL1/PDE4D/RAP2C/BTG1",13
"GO:0032496","GO:0032496","response to lipopolysaccharide","23/483","302/18842",0.076158940397351,2.97098707032482,5.60058523513492,3.62982586473077e-06,0.000609810745274769,0.000609810745274769,"CXCL9/ADAM17/BMP6/AXL/SLC11A1/PTPN11/IL24/CAPN2/GBP2/NOS3/F2R/CYP1A1/NFKB2/MIF/HPGD/CCR7/CD55/S100A8/CSF2/TNFAIP3/DIO2/FCAR/MALT1",23
"GO:0042060","GO:0042060","wound healing","27/483","394/18842",0.0685279187817259,2.67329823123246,5.44437269432452,3.91042379223105e-06,0.000638702552731071,0.000638702552731071,"PROCR/ADAM17/CAV1/AXL/SERPING1/VEGFA/SLC11A1/FN1/MYOF/NOS3/CD44/S100A10/CDKN1A/F2R/PPARG/ACTB/PDGFA/GGCX/FZD7/F3/MMP12/FGF2/GP5/LCK/TNFAIP3/ANXA1/SERPINA1",27
"GO:0006006","GO:0006006","glucose metabolic process","16/483","163/18842",0.098159509202454,3.82923700288331,5.88419897279468,4.73838861297855e-06,0.00074044971007811,0.000740449710078111,"PKM/FBP1/RBP4/PCK1/PFKP/ENO2/TFF3/ATF4/PGAM1/HK2/TKTL1/PER2/PMAIP1/CRY1/PFKFB1/GAPDH",16
"GO:0050900","GO:0050900","leukocyte migration","25/483","352/18842",0.0710227272727273,2.77062158855637,5.43913277476102,4.78521921479051e-06,0.00074044971007811,0.000740449710078111,"CXCL9/ADAM17/S100A12/CCL13/GPR183/SOS1/FLT1/VEGFA/CSF1/CCL7/ITGA6/MIF/ITGA2B/ICAM2/ROCK1/CCR7/S100A8/NEDD9/OXSR1/ABL2/LCK/ITGB7/FYN/ITGA7/ANXA1",25
"GO:0009611","GO:0009611","response to wounding","31/483","496/18842",0.0625,2.43814699792961,5.26470997980019,5.08176403681278e-06,0.000762006270140002,0.000762006270140002,"PROCR/ADAM17/CAV1/AXL/DDIT3/SERPING1/VEGFA/SLC11A1/FN1/MYOF/NOS3/CD44/S100A10/CDKN1A/F2R/PPARG/ACTB/PDGFA/GGCX/FZD7/INPP5F/F3/MMP12/FGF2/GP5/LCK/DPYSL3/TNFAIP3/ANXA1/SERPINA1/SPP1",31
"GO:0030225","GO:0030225","macrophage differentiation","9/483","51/18842",0.176470588235294,6.88417975886007,6.8249127351276,5.18371612340138e-06,0.000762006270140002,0.000762006270140002,"VEGFA/CSF1/IFNG/INHBA/CFLAR/CSF2/IL15/NR3C1/CDC42",9
"GO:0030098","GO:0030098","lymphocyte differentiation","25/483","356/18842",0.0702247191011236,2.73949100890967,5.37435985172059,5.83162759361498e-06,0.000834441770883003,0.000834441770883003,"RSAD2/ADAM17/NFIL3/AXL/ST3GAL1/CD2/GPR183/FLT3/PCK1/ICOS/KLF6/ITK/INHBA/RHOH/CEBPG/ACTB/CAMK4/CCR7/CD3D/TRAF3IP2/LAG3/LCK/MALT1/ZBTB1/ANXA1",25
"GO:2001237","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","11/483","80/18842",0.1375,5.36392339544513,6.34429801618204,5.96029836345002e-06,0.000834441770883003,0.000834441770883003,"NOS3/ITGA6/ACVR1/MCL1/CFLAR/KLF4/HSPA1B/CSF2/FYN/TNFAIP3/PEA15",11
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","16/483","167/18842",0.0958083832335329,3.73751875131724,5.76349687791021,6.47958170459788e-06,0.000869763793612701,0.000869763793612701,"CAV1/CLU/DDIT3/SFPQ/CD44/MIF/ATF4/NME5/MCL1/FGF2/S100A8/LCK/PPEF1/PMAIP1/FYN/RACK1",16
"GO:2000106","GO:2000106","regulation of leukocyte apoptotic process","10/483","66/18842",0.151515151515152,5.91065938892026,6.48203349030557,6.50843655084334e-06,0.000869763793612701,0.000869763793612701,"ADAM17/AXL/ST3GAL1/RAPGEF2/MIF/CCR7/IDO1/FCAR/ANXA1/TSC22D3",10
