"ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"36650_at","cyclin D2","CCND2","894","","","","Homo sapiens KIAK0002 mRNA, complete cds",285990,"D13639",NA,NA,"","12p13","Chromosome 12, NC_000012.12 (4273736..4305356)","protein binding///protein kinase binding","cell cycle///cell division///positive regulation of cyclin-dependent protein serine/threonine kinase activity///positive regulation of protein phosphorylation","chromatin///cyclin-dependent protein kinase holoenzyme complex///cytosol///nuclear membrane///nucleolus///nucleoplasm///nucleus","GO:0005515///GO:0019901","GO:0007049///GO:0051301///GO:0045737///GO:0001934","GO:0000785///GO:0000307///GO:0005829///GO:0031965///GO:0005730///GO:0005654///GO:0005634",4.12443395083431,6.92037856029458,15.6329889122105,9.49794258536177e-08,0.000599557625700962,8.1033832525866
"35488_at","small nuclear RNA activating complex polypeptide 1","SNAPC1","6617","","","","Human PSE-binding factor PTF gamma subunit mRNA, complete cds",1174202,"U44754",NA,NA,"","14q22","Chromosome 14, NC_000014.9 (61762357..61796428)","sequence-specific DNA binding","regulation of transcription, DNA-templated///snRNA transcription from RNA polymerase II promoter///snRNA transcription from RNA polymerase II promoter///snRNA transcription from RNA polymerase III promoter","intracellular membrane-bounded organelle///nucleolus///nucleoplasm///nucleus///snRNA-activating protein complex","GO:0043565","GO:0006355///GO:0042795///GO:0042795///GO:0042796","GO:0043231///GO:0005730///GO:0005654///GO:0005634///GO:0019185",3.37255199258892,8.07184939887589,13.0099494677315,4.53542334987451e-07,0.000934310928453753,6.83919251047497
"35331_at","catenin alpha like 1","CTNNAL1","8727","","","","Homo sapiens alpha-catenin-like protein mRNA, complete cds",3342777,"U97067",NA,NA,"","9q31.2","Chromosome 9, NC_000009.12 (108942569..109013594, complement)","actin filament binding///cadherin binding///protein binding","Rho protein signal transduction///cell adhesion","cytoskeleton///cytosol///plasma membrane","GO:0051015///GO:0045296///GO:0005515","GO:0007266///GO:0007155","GO:0005856///GO:0005829///GO:0005886",3.91926331066264,6.16352979946434,12.2021845487701,7.7827560659341e-07,0.000934310928453753,6.37643875580463
"36495_at","fructose-bisphosphatase 1","FBP1","2203","","","","Homo sapiens chromosome 9 fructose-1,6-biphosphatase (FBP1) gene, complete cds",1036029534,"AH006619",NA,NA,"","9q22.3","Chromosome 9, NC_000009.12 (94603133..94640257, complement)","AMP binding///fructose 1,6-bisphosphate 1-phosphatase activity///fructose 1,6-bisphosphate 1-phosphatase activity///fructose 1,6-bisphosphate 1-phosphatase activity///identical protein binding///metal ion binding///monosaccharide binding///protein binding","cellular response to drug///cellular response to magnesium ion///dephosphorylation///dephosphorylation///fructose 6-phosphate metabolic process///fructose catabolic process///fructose metabolic process///gluconeogenesis///gluconeogenesis///gluconeogenesis///gluconeogenesis///negative regulation of Ras protein signal transduction///negative regulation of cell growth///negative regulation of glycolytic process///protein homotetramerization///regulation of gluconeogenesis","cytoplasm///cytosol///cytosol///extracellular exosome","GO:0016208///GO:0042132///GO:0042132///GO:0042132///GO:0042802///GO:0046872///GO:0048029///GO:0005515","GO:0035690///GO:0071286///GO:0016311///GO:0016311///GO:0006002///GO:0006001///GO:0006000///GO:0006094///GO:0006094///GO:0006094///GO:0006094///GO:0046580///GO:0030308///GO:0045820///GO:0051289///GO:0006111","GO:0005737///GO:0005829///GO:0005829///GO:0070062",3.76641574919116,11.1052600453677,11.9995887292147,8.95663200966113e-07,0.000934310928453753,6.25405376359853
"41096_at","S100 calcium binding protein A8","S100A8","6279","","","","",NA,"",NA,NA,"","1q21","Chromosome 1, NC_000001.11 (153390032..153422583, complement)","RAGE receptor binding///Toll-like receptor 4 binding///arachidonic acid binding///calcium ion binding///microtubule binding///protein binding///zinc ion binding","activation of cysteine-type endopeptidase activity involved in apoptotic process///acute inflammatory response///apoptotic process///astrocyte development///autophagy///chemokine production///chronic inflammatory response///cytokine production///defense response to bacterium///defense response to fungus///inflammatory response///innate immune response///leukocyte migration involved in inflammatory response///neutrophil aggregation///neutrophil chemotaxis///peptidyl-cysteine S-nitrosylation///positive regulation of NF-kappaB transcription factor activity///positive regulation of cell growth///positive regulation of inflammatory response///positive regulation of intrinsic apoptotic signaling pathway///positive regulation of peptide secretion///regulation of cytoskeleton organization///response to ethanol///response to lipopolysaccharide///response to zinc ion///sequestering of zinc ion///wound healing","cytoskeleton///cytosol///extracellular exosome///extracellular region///extracellular space///nucleus///plasma membrane","GO:0050786///GO:0035662///GO:0050544///GO:0005509///GO:0008017///GO:0005515///GO:0008270","GO:0006919///GO:0002526///GO:0006915///GO:0014002///GO:0006914///GO:0032602///GO:0002544///GO:0001816///GO:0042742///GO:0050832///GO:0006954///GO:0045087///GO:0002523///GO:0070488///GO:0030593///GO:0018119///GO:0051092///GO:0030307///GO:0050729///GO:2001244///GO:0002793///GO:0051493///GO:0045471///GO:0032496///GO:0010043///GO:0032119///GO:0042060","GO:0005856///GO:0005829///GO:0070062///GO:0005576///GO:0005615///GO:0005634///GO:0005886",3.55984923235947,11.5373181189072,11.8976164311551,9.62062738209805e-07,0.000934310928453753,6.19144652083081
"36582_g_at","glycyl-tRNA synthetase","GARS","2617","","","","Human glycyl-tRNA synthetase mRNA, complete cds",595304,"U09510",NA,NA,"","7p15","Chromosome 7, NC_000007.14 (30594735..30634033)","ATP binding///bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity///glycine-tRNA ligase activity///glycine-tRNA ligase activity///protein dimerization activity","diadenosine tetraphosphate biosynthetic process///glycyl-tRNA aminoacylation///tRNA aminoacylation for protein translation","axon///cytoplasm///cytosol///extracellular exosome///mitochondrial matrix///nucleoplasm///secretory granule","GO:0005524///GO:0004081///GO:0004820///GO:0004820///GO:0046983","GO:0015966///GO:0006426///GO:0006418","GO:0030424///GO:0005737///GO:0005829///GO:0070062///GO:0005759///GO:0005654///GO:0030141",2.61228686188505,9.69919845279673,11.1012247773803,1.71498466820642e-06,0.00153255067454581,5.67809557984782
"34435_at","aquaporin 9","AQP9","366","","","","Homo sapiens AQP9 mRNA for aquaporin 9, complete cds",2887406,"AB008775",NA,NA,"","15q","Chromosome 15, NC_000015.10 (58138169..58185911)","amine transmembrane transporter activity///carboxylic acid transmembrane transporter activity///glycerol channel activity///glycerol channel activity///polyol transmembrane transporter activity///porin activity///purine nucleobase transmembrane transporter activity///pyrimidine nucleobase transmembrane transporter activity///urea channel activity///urea transmembrane transporter activity///water channel activity///water channel activity///water transmembrane transporter activity","amine transport///canalicular bile acid transport///carboxylic acid transmembrane transport///carboxylic acid transport///cellular response to cAMP///cellular water homeostasis///excretion///glycerol transport///immune response///metabolic process///polyol transport///purine nucleobase transmembrane transport///purine nucleobase transport///pyrimidine nucleobase transport///pyrimidine-containing compound transmembrane transport///response to mercury ion///response to organic substance///response to osmotic stress///transport///urea transmembrane transport///water homeostasis///water transport///water transport","basolateral plasma membrane///integral component of membrane///integral component of plasma membrane///intracellular membrane-bounded organelle///plasma membrane","GO:0005275///GO:0046943///GO:0015254///GO:0015254///GO:0015166///GO:0015288///GO:0005345///GO:0005350///GO:0015265///GO:0015204///GO:0015250///GO:0015250///GO:0005372","GO:0015837///GO:0015722///GO:1905039///GO:0046942///GO:0071320///GO:0009992///GO:0007588///GO:0015793///GO:0006955///GO:0008152///GO:0015791///GO:1904823///GO:0006863///GO:0015855///GO:0072531///GO:0046689///GO:0010033///GO:0006970///GO:0006810///GO:0071918///GO:0030104///GO:0006833///GO:0006833","GO:0016323///GO:0016021///GO:0005887///GO:0043231///GO:0005886",4.86649506755541,9.09282289307006,11.0214600494007,1.82085228658909e-06,0.00153255067454581,5.62418803201712
"1184_at","microRNA 7703///proteasome activator subunit 2","MIR7703///PSME2","102465801///5721","","","","Homo sapiens mRNA for proteasome activator hPA28 suunit beta, complete cds",1008914,"D45248",NA,NA,"","14q11.2","Chromosome 14, NC_000014.9 (24143489..24143565, complement)///Chromosome 14, NC_000014.9 (24143365..24147316, complement)","endopeptidase activator activity","Fc-epsilon receptor signaling pathway///MAPK cascade///NIK/NF-kappaB signaling///T cell receptor signaling pathway///Wnt signaling pathway, planar cell polarity pathway///anaphase-promoting complex-dependent catabolic process///antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent///negative regulation of canonical Wnt signaling pathway///negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle///positive regulation of canonical Wnt signaling pathway///positive regulation of endopeptidase activity///positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition///proteasome-mediated ubiquitin-dependent protein catabolic process///protein polyubiquitination///regulation of G1/S transition of mitotic cell cycle///regulation of cellular amino acid metabolic process///regulation of mRNA stability///regulation of proteasomal protein catabolic process///stimulatory C-type lectin receptor signaling pathway///tumor necrosis factor-mediated signaling pathway","cytoplasm///cytosol///extracellular exosome///membrane///nucleoplasm///proteasome activator complex///proteasome complex","GO:0061133","GO:0038095///GO:0000165///GO:0038061///GO:0050852///GO:0060071///GO:0031145///GO:0002479///GO:0090090///GO:0051436///GO:0090263///GO:0010950///GO:0051437///GO:0043161///GO:0000209///GO:2000045///GO:0006521///GO:0043488///GO:0061136///GO:0002223///GO:0033209","GO:0005737///GO:0005829///GO:0070062///GO:0016020///GO:0005654///GO:0008537///GO:0000502",2.7818277757651,10.69793630182,10.9118432966581,1.97831680719498e-06,0.00155609304510944,5.54933144992998
"39807_at","minichromosome maintenance 9 homologous recombination repair factor","MCM9","254394","","","","",NA,"",NA,NA,"","6q22.31","Chromosome 6, NC_000006.12 (118813449..118935162, complement)","ATP binding///DNA binding///helicase activity","DNA replication///cellular response to DNA damage stimulus///double-strand break repair via homologous recombination///female gamete generation","MCM8-MCM9 complex///nucleus","GO:0005524///GO:0003677///GO:0004386","GO:0006260///GO:0006974///GO:0000724///GO:0007292","GO:0097362///GO:0005634",3.67416399256056,3.97487463898535,10.8364559683655,2.09533320925627e-06,0.00155609304510944,5.49732345345664
"40237_at","pleckstrin homology like domain family A member 2","PHLDA2","7262","","","","Homo sapiens p17-Beckwith-Wiedemann region 1 C (BWR1C) mRNA, complete cds",2661087,"AF035444",NA,NA,"","11p15.4","Chromosome 11, NC_000011.10 (2928273..2929420, complement)","","apoptotic process///organ morphogenesis///placenta development///regulation of cell migration///regulation of embryonic development///regulation of gene expression///regulation of glycogen metabolic process","cytoplasm///membrane","","GO:0006915///GO:0009887///GO:0001890///GO:0030334///GO:0045995///GO:0010468///GO:0070873","GO:0005737///GO:0016020",3.1941054474648,5.95940533990955,10.2826627626444,3.23120198844363e-06,0.00194256786210004,5.10165879047307
