"ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"38895_i_at","neutrophil cytosolic factor 4","NCF4","4689","","","","H.sapiens mRNA for p40phox",458543,"X77094",NA,NA,"","22q13.1","Chromosome 22, NC_000022.11 (36860988..36878017)","phosphatidylinositol-3-phosphate binding///protein binding///protein dimerization activity///superoxide-generating NADPH oxidase activator activity","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent///cell redox homeostasis///immune response///oxidation-reduction process///positive regulation of catalytic activity///vascular endothelial growth factor receptor signaling pathway","NADPH oxidase complex///cytosol///cytosol///endosome membrane///membrane///phagolysosome","GO:0032266///GO:0005515///GO:0046983///GO:0016176","GO:0002479///GO:0045454///GO:0006955///GO:0055114///GO:0043085///GO:0048010","GO:0043020///GO:0005829///GO:0005829///GO:0010008///GO:0016020///GO:0032010",-7.02031493782018,4.6702992009689,-16.1813194448683,7.06660273023666e-08,0.000599557625700962,8.32865537857851
"36650_at","cyclin D2","CCND2","894","","","","Homo sapiens KIAK0002 mRNA, complete cds",285990,"D13639",NA,NA,"","12p13","Chromosome 12, NC_000012.12 (4273736..4305356)","protein binding///protein kinase binding","cell cycle///cell division///positive regulation of cyclin-dependent protein serine/threonine kinase activity///positive regulation of protein phosphorylation","chromatin///cyclin-dependent protein kinase holoenzyme complex///cytosol///nuclear membrane///nucleolus///nucleoplasm///nucleus","GO:0005515///GO:0019901","GO:0007049///GO:0051301///GO:0045737///GO:0001934","GO:0000785///GO:0000307///GO:0005829///GO:0031965///GO:0005730///GO:0005654///GO:0005634",4.12443395083431,6.92037856029458,15.6329889122105,9.49794258536177e-08,0.000599557625700962,8.1033832525866
"38222_at","pyrimidinergic receptor P2Y6","P2RY6","5031","","","","",NA,"",NA,NA,"","11q13.4","Chromosome 11, NC_000011.10 (73264503..73298625)","G-protein coupled purinergic nucleotide receptor activity///G-protein coupled receptor activity///UDP-activated nucleotide receptor activity///protein binding","G-protein coupled purinergic nucleotide receptor signaling pathway///cellular response to organic cyclic compound///cellular response to prostaglandin E stimulus///phospholipase C-activating G-protein coupled receptor signaling pathway///positive regulation of smooth muscle cell migration///transepithelial chloride transport","apical plasma membrane///basolateral plasma membrane///integral component of plasma membrane///plasma membrane","GO:0045028///GO:0004930///GO:0045029///GO:0005515","GO:0035589///GO:0071407///GO:0071380///GO:0007200///GO:0014911///GO:0030321","GO:0016324///GO:0016323///GO:0005887///GO:0005886",-5.32972391484148,5.72225330686783,-14.3541869035292,1.96920179414281e-07,0.000828705755035098,7.52855848879246
"35488_at","small nuclear RNA activating complex polypeptide 1","SNAPC1","6617","","","","Human PSE-binding factor PTF gamma subunit mRNA, complete cds",1174202,"U44754",NA,NA,"","14q22","Chromosome 14, NC_000014.9 (61762357..61796428)","sequence-specific DNA binding","regulation of transcription, DNA-templated///snRNA transcription from RNA polymerase II promoter///snRNA transcription from RNA polymerase II promoter///snRNA transcription from RNA polymerase III promoter","intracellular membrane-bounded organelle///nucleolus///nucleoplasm///nucleus///snRNA-activating protein complex","GO:0043565","GO:0006355///GO:0042795///GO:0042795///GO:0042796","GO:0043231///GO:0005730///GO:0005654///GO:0005634///GO:0019185",3.37255199258892,8.07184939887589,13.0099494677315,4.53542334987451e-07,0.000934310928453753,6.83919251047497
"38487_at","stabilin 1","STAB1","23166","","","","Homo sapiens KIAA0246 mRNA for KIAA0246 protein",20521855,"D87433",NA,NA,"","3p21.1","Chromosome 3, NC_000003.12 (52495338..52524496)","calcium ion binding///hyaluronic acid binding///low-density lipoprotein particle binding///low-density lipoprotein receptor activity///protein binding///protein disulfide oxidoreductase activity///scavenger receptor activity","cell adhesion///cell-cell signaling///defense response to bacterium///inflammatory response///negative regulation of angiogenesis///oxidation-reduction process///receptor-mediated endocytosis","endocytic vesicle membrane///integral component of plasma membrane///plasma membrane","GO:0005509///GO:0005540///GO:0030169///GO:0005041///GO:0005515///GO:0015035///GO:0005044","GO:0007155///GO:0007267///GO:0042742///GO:0006954///GO:0016525///GO:0055114///GO:0006898","GO:0030666///GO:0005887///GO:0005886",-4.5907928834653,10.2352783455248,-12.6479667619529,5.75483941569294e-07,0.000934310928453753,6.6366610860153
"33916_at","nischarin","NISCH","11188","","","","Homo sapiens KIAA0975 mRNA for KIAA0975 protein",4589593,"AB023192",NA,NA,"","3p21.1","Chromosome 3, NC_000003.12 (52455508..52493072)","identical protein binding///integrin binding///phosphatidylinositol binding///protein binding","Rac protein signal transduction///actin cytoskeleton organization///apoptotic process///glucose metabolic process///negative regulation of cell migration///norepinephrine secretion///regulation of blood pressure///regulation of synaptic transmission, GABAergic","cytosol///early endosome///membrane///plasma membrane///recycling endosome","GO:0042802///GO:0005178///GO:0035091///GO:0005515","GO:0016601///GO:0030036///GO:0006915///GO:0006006///GO:0030336///GO:0048243///GO:0008217///GO:0032228","GO:0005829///GO:0005769///GO:0016020///GO:0005886///GO:0055037",-3.69623220260763,8.45835591489826,-12.58987182504,5.98245919580998e-07,0.000934310928453753,6.60343685911344
"31432_g_at","Fc fragment of IgG receptor and transporter","FCGRT","2217","","","","Human IgG Fc receptor hFcRn mRNA, complete cds",595474,"U12255",NA,NA,"","19q13.3","Chromosome 19, NC_000019.10 (49512279..49526428)","IgG binding///IgG receptor activity///antigen binding///beta-2-microglobulin binding///NOT peptide antigen binding","Fc-gamma receptor signaling pathway///IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor///antigen processing and presentation///immune response","integral component of membrane///plasma membrane","GO:0019864///GO:0019770///GO:0003823///GO:0030881///NOT GO:0042605","GO:0038094///GO:0002416///GO:0019882///GO:0006955","GO:0016021///GO:0005886",-3.06067240626629,10.6934012829842,-12.5656195234705,6.08041620489509e-07,0.000934310928453753,6.58950702333223
"35331_at","catenin alpha like 1","CTNNAL1","8727","","","","Homo sapiens alpha-catenin-like protein mRNA, complete cds",3342777,"U97067",NA,NA,"","9q31.2","Chromosome 9, NC_000009.12 (108942569..109013594, complement)","actin filament binding///cadherin binding///protein binding","Rho protein signal transduction///cell adhesion","cytoskeleton///cytosol///plasma membrane","GO:0051015///GO:0045296///GO:0005515","GO:0007266///GO:0007155","GO:0005856///GO:0005829///GO:0005886",3.91926331066264,6.16352979946434,12.2021845487701,7.7827560659341e-07,0.000934310928453753,6.37643875580463
"37277_at","NLR family apoptosis inhibitory protein","NAIP","4671","","","","Homo sapiens neuronal apoptosis inhibitory protein mRNA, complete cds",2642132,"U19251",NA,NA,"","5q13.2","Chromosome 5, NC_000005.10 (70968483..71025114, complement)","ATP binding///cysteine-type endopeptidase inhibitor activity///metal ion binding///protein binding///ubiquitin-protein transferase activity","apoptotic process///inflammatory response///innate immune response///negative regulation of apoptotic process///negative regulation of cysteine-type endopeptidase activity involved in apoptotic process///negative regulation of neuron apoptotic process///nervous system development///protein ubiquitination///regulation of signal transduction///response to amino acid///response to axon injury","basolateral plasma membrane///cytoplasm///cytoplasm///extracellular exosome///neuron projection///perikaryon","GO:0005524///GO:0004869///GO:0046872///GO:0005515///GO:0004842","GO:0006915///GO:0006954///GO:0045087///GO:0043066///GO:0043154///GO:0043524///GO:0007399///GO:0016567///GO:0009966///GO:0043200///GO:0048678","GO:0016323///GO:0005737///GO:0005737///GO:0070062///GO:0043005///GO:0043204",-3.85834792706256,3.74028695974246,-12.0726555718949,8.51206706971233e-07,0.000934310928453753,6.29849688406857
"36495_at","fructose-bisphosphatase 1","FBP1","2203","","","","Homo sapiens chromosome 9 fructose-1,6-biphosphatase (FBP1) gene, complete cds",1036029534,"AH006619",NA,NA,"","9q22.3","Chromosome 9, NC_000009.12 (94603133..94640257, complement)","AMP binding///fructose 1,6-bisphosphate 1-phosphatase activity///fructose 1,6-bisphosphate 1-phosphatase activity///fructose 1,6-bisphosphate 1-phosphatase activity///identical protein binding///metal ion binding///monosaccharide binding///protein binding","cellular response to drug///cellular response to magnesium ion///dephosphorylation///dephosphorylation///fructose 6-phosphate metabolic process///fructose catabolic process///fructose metabolic process///gluconeogenesis///gluconeogenesis///gluconeogenesis///gluconeogenesis///negative regulation of Ras protein signal transduction///negative regulation of cell growth///negative regulation of glycolytic process///protein homotetramerization///regulation of gluconeogenesis","cytoplasm///cytosol///cytosol///extracellular exosome","GO:0016208///GO:0042132///GO:0042132///GO:0042132///GO:0042802///GO:0046872///GO:0048029///GO:0005515","GO:0035690///GO:0071286///GO:0016311///GO:0016311///GO:0006002///GO:0006001///GO:0006000///GO:0006094///GO:0006094///GO:0006094///GO:0006094///GO:0046580///GO:0030308///GO:0045820///GO:0051289///GO:0006111","GO:0005737///GO:0005829///GO:0005829///GO:0070062",3.76641574919116,11.1052600453677,11.9995887292147,8.95663200966113e-07,0.000934310928453753,6.25405376359853
