"ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"38895_i_at","neutrophil cytosolic factor 4","NCF4","4689","","","","H.sapiens mRNA for p40phox",458543,"X77094",NA,NA,"","22q13.1","Chromosome 22, NC_000022.11 (36860988..36878017)","phosphatidylinositol-3-phosphate binding///protein binding///protein dimerization activity///superoxide-generating NADPH oxidase activator activity","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent///cell redox homeostasis///immune response///oxidation-reduction process///positive regulation of catalytic activity///vascular endothelial growth factor receptor signaling pathway","NADPH oxidase complex///cytosol///cytosol///endosome membrane///membrane///phagolysosome","GO:0032266///GO:0005515///GO:0046983///GO:0016176","GO:0002479///GO:0045454///GO:0006955///GO:0055114///GO:0043085///GO:0048010","GO:0043020///GO:0005829///GO:0005829///GO:0010008///GO:0016020///GO:0032010",-7.02031493782018,4.6702992009689,-16.1813194448683,7.06660273023666e-08,0.000599557625700962,8.32865537857851
"38222_at","pyrimidinergic receptor P2Y6","P2RY6","5031","","","","",NA,"",NA,NA,"","11q13.4","Chromosome 11, NC_000011.10 (73264503..73298625)","G-protein coupled purinergic nucleotide receptor activity///G-protein coupled receptor activity///UDP-activated nucleotide receptor activity///protein binding","G-protein coupled purinergic nucleotide receptor signaling pathway///cellular response to organic cyclic compound///cellular response to prostaglandin E stimulus///phospholipase C-activating G-protein coupled receptor signaling pathway///positive regulation of smooth muscle cell migration///transepithelial chloride transport","apical plasma membrane///basolateral plasma membrane///integral component of plasma membrane///plasma membrane","GO:0045028///GO:0004930///GO:0045029///GO:0005515","GO:0035589///GO:0071407///GO:0071380///GO:0007200///GO:0014911///GO:0030321","GO:0016324///GO:0016323///GO:0005887///GO:0005886",-5.32972391484148,5.72225330686783,-14.3541869035292,1.96920179414281e-07,0.000828705755035098,7.52855848879246
"38487_at","stabilin 1","STAB1","23166","","","","Homo sapiens KIAA0246 mRNA for KIAA0246 protein",20521855,"D87433",NA,NA,"","3p21.1","Chromosome 3, NC_000003.12 (52495338..52524496)","calcium ion binding///hyaluronic acid binding///low-density lipoprotein particle binding///low-density lipoprotein receptor activity///protein binding///protein disulfide oxidoreductase activity///scavenger receptor activity","cell adhesion///cell-cell signaling///defense response to bacterium///inflammatory response///negative regulation of angiogenesis///oxidation-reduction process///receptor-mediated endocytosis","endocytic vesicle membrane///integral component of plasma membrane///plasma membrane","GO:0005509///GO:0005540///GO:0030169///GO:0005041///GO:0005515///GO:0015035///GO:0005044","GO:0007155///GO:0007267///GO:0042742///GO:0006954///GO:0016525///GO:0055114///GO:0006898","GO:0030666///GO:0005887///GO:0005886",-4.5907928834653,10.2352783455248,-12.6479667619529,5.75483941569294e-07,0.000934310928453753,6.6366610860153
"33916_at","nischarin","NISCH","11188","","","","Homo sapiens KIAA0975 mRNA for KIAA0975 protein",4589593,"AB023192",NA,NA,"","3p21.1","Chromosome 3, NC_000003.12 (52455508..52493072)","identical protein binding///integrin binding///phosphatidylinositol binding///protein binding","Rac protein signal transduction///actin cytoskeleton organization///apoptotic process///glucose metabolic process///negative regulation of cell migration///norepinephrine secretion///regulation of blood pressure///regulation of synaptic transmission, GABAergic","cytosol///early endosome///membrane///plasma membrane///recycling endosome","GO:0042802///GO:0005178///GO:0035091///GO:0005515","GO:0016601///GO:0030036///GO:0006915///GO:0006006///GO:0030336///GO:0048243///GO:0008217///GO:0032228","GO:0005829///GO:0005769///GO:0016020///GO:0005886///GO:0055037",-3.69623220260763,8.45835591489826,-12.58987182504,5.98245919580998e-07,0.000934310928453753,6.60343685911344
"31432_g_at","Fc fragment of IgG receptor and transporter","FCGRT","2217","","","","Human IgG Fc receptor hFcRn mRNA, complete cds",595474,"U12255",NA,NA,"","19q13.3","Chromosome 19, NC_000019.10 (49512279..49526428)","IgG binding///IgG receptor activity///antigen binding///beta-2-microglobulin binding///NOT peptide antigen binding","Fc-gamma receptor signaling pathway///IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor///antigen processing and presentation///immune response","integral component of membrane///plasma membrane","GO:0019864///GO:0019770///GO:0003823///GO:0030881///NOT GO:0042605","GO:0038094///GO:0002416///GO:0019882///GO:0006955","GO:0016021///GO:0005886",-3.06067240626629,10.6934012829842,-12.5656195234705,6.08041620489509e-07,0.000934310928453753,6.58950702333223
"37277_at","NLR family apoptosis inhibitory protein","NAIP","4671","","","","Homo sapiens neuronal apoptosis inhibitory protein mRNA, complete cds",2642132,"U19251",NA,NA,"","5q13.2","Chromosome 5, NC_000005.10 (70968483..71025114, complement)","ATP binding///cysteine-type endopeptidase inhibitor activity///metal ion binding///protein binding///ubiquitin-protein transferase activity","apoptotic process///inflammatory response///innate immune response///negative regulation of apoptotic process///negative regulation of cysteine-type endopeptidase activity involved in apoptotic process///negative regulation of neuron apoptotic process///nervous system development///protein ubiquitination///regulation of signal transduction///response to amino acid///response to axon injury","basolateral plasma membrane///cytoplasm///cytoplasm///extracellular exosome///neuron projection///perikaryon","GO:0005524///GO:0004869///GO:0046872///GO:0005515///GO:0004842","GO:0006915///GO:0006954///GO:0045087///GO:0043066///GO:0043154///GO:0043524///GO:0007399///GO:0016567///GO:0009966///GO:0043200///GO:0048678","GO:0016323///GO:0005737///GO:0005737///GO:0070062///GO:0043005///GO:0043204",-3.85834792706256,3.74028695974246,-12.0726555718949,8.51206706971233e-07,0.000934310928453753,6.29849688406857
"37417_at","POU class 2 homeobox 2","POU2F2","5452","","","","Human lymphoid-specific transcription factor mRNA, complete cds",339495,"M36542",NA,NA,"","19q13.2","Chromosome 19, NC_000019.10 (42086110..42197931, complement)","RNA polymerase II core promoter proximal region sequence-specific DNA binding///protein domain specific binding///sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding","cell maturation///humoral immune response///immunoglobulin secretion involved in immune response///mature B cell differentiation///positive regulation of transcription from RNA polymerase II promoter///snRNA transcription from RNA polymerase II promoter///transcription from RNA polymerase II promoter","cytoplasm///nucleoplasm///nucleus","GO:0000978///GO:0019904///GO:0043565///GO:0003700///GO:0001077","GO:0048469///GO:0006959///GO:0002380///GO:0002335///GO:0045944///GO:0042795///GO:0006366","GO:0005737///GO:0005654///GO:0005634",-3.11521896749112,6.25393222588937,-11.9710835130734,9.13698652658779e-07,0.000934310928453753,6.23662123925065
"40850_at","FK506 binding protein 8","FKBP8","23770","","","","Human FK-506 binding protein homologue (FKBP38) mRNA, complete cds",965469,"L37033",NA,NA,"","19p12","Chromosome 19, NC_000019.10 (18531752..18544077, complement)","FK506 binding///identical protein binding///metal ion binding///peptidyl-prolyl cis-trans isomerase activity///protein binding","apoptotic process///camera-type eye development///cell fate specification///chaperone-mediated protein folding///dorsal/ventral neural tube patterning///intracellular signal transduction///multicellular organism growth///negative regulation of apoptotic process///positive regulation of BMP signaling pathway///protein peptidyl-prolyl isomerization///smoothened signaling pathway///viral process","endoplasmic reticulum membrane///integral component of endoplasmic reticulum membrane///membrane///mitochondrial membrane","GO:0005528///GO:0042802///GO:0046872///GO:0003755///GO:0005515","GO:0006915///GO:0043010///GO:0001708///GO:0061077///GO:0021904///GO:0035556///GO:0035264///GO:0043066///GO:0030513///GO:0000413///GO:0007224///GO:0016032","GO:0005789///GO:0030176///GO:0016020///GO:0031966",-4.91131491471414,5.4486383731517,-11.9418338979564,9.32623902192996e-07,0.000934310928453753,6.21867822184951
"37013_at","angiotensin I converting enzyme","ACE","1636","","","","Human testicular angiotensin converting enzyme mRNA, complete cds",338666,"M26657",NA,NA,"","17q23.3","Chromosome 17, NC_000017.11 (63477061..63498380)","bradykinin receptor binding///carboxypeptidase activity///chloride ion binding///drug binding///endopeptidase activity///exopeptidase activity///metallodipeptidase activity///metallopeptidase activity///metallopeptidase activity///mitogen-activated protein kinase binding///mitogen-activated protein kinase kinase binding///peptidyl-dipeptidase activity///peptidyl-dipeptidase activity///tripeptidyl-peptidase activity///zinc ion binding","angiotensin catabolic process in blood///angiotensin maturation///antigen processing and presentation of peptide antigen via MHC class I///arachidonic acid secretion///beta-amyloid metabolic process///blood vessel remodeling///cell proliferation in bone marrow///heart contraction///hematopoietic stem cell differentiation///hormone catabolic process///hormone catabolic process///kidney development///mononuclear cell proliferation///negative regulation of gap junction assembly///neutrophil mediated immunity///peptide catabolic process///positive regulation of peptidyl-cysteine S-nitrosylation///positive regulation of peptidyl-tyrosine autophosphorylation///positive regulation of protein tyrosine kinase activity///regulation of angiotensin metabolic process///regulation of blood pressure///regulation of hematopoietic stem cell proliferation///regulation of hematopoietic stem cell proliferation///regulation of renal output by angiotensin///regulation of smooth muscle cell migration///regulation of systemic arterial blood pressure by renin-angiotensin///regulation of systemic arterial blood pressure by renin-angiotensin///regulation of vasoconstriction///regulation of vasodilation///spermatogenesis","endosome///external side of plasma membrane///extracellular exosome///extracellular region///extracellular space///integral component of membrane///lysosome///plasma membrane///plasma membrane","GO:0031711///GO:0004180///GO:0031404///GO:0008144///GO:0004175///GO:0008238///GO:0070573///GO:0008237///GO:0008237///GO:0051019///GO:0031434///GO:0008241///GO:0008241///GO:0008240///GO:0008270","GO:0002005///GO:0002003///GO:0002474///GO:0050482///GO:0050435///GO:0001974///GO:0071838///GO:0060047///GO:0060218///GO:0042447///GO:0042447///GO:0001822///GO:0032943///GO:1903597///GO:0002446///GO:0043171///GO:2000170///GO:1900086///GO:0061098///GO:0060177///GO:0008217///GO:1902033///GO:1902033///GO:0002019///GO:0014910///GO:0003081///GO:0003081///GO:0019229///GO:0042312///GO:0007283","GO:0005768///GO:0009897///GO:0070062///GO:0005576///GO:0005615///GO:0016021///GO:0005764///GO:0005886///GO:0005886",-3.45758107507642,5.0624594651396,-10.7165596215266,2.29751961171056e-06,0.0016114547276581,5.41371328146467
"36151_at","phospholipase D family member 3","PLD3","23646","","","","Human HU-K4 mRNA, complete cds",1575346,"U60644",NA,NA,"","19q13.2","Chromosome 19, NC_000019.10 (40348395..40378490)","N-acylphosphatidylethanolamine-specific phospholipase D activity///phospholipase D activity///protein binding","lipid catabolic process","endoplasmic reticulum membrane///extracellular exosome///integral component of membrane","GO:0070290///GO:0004630///GO:0005515","GO:0016042","GO:0005789///GO:0070062///GO:0016021",-5.31060483395572,8.38346251170287,-10.4854771558406,2.75090826881728e-06,0.00177734393735956,5.24939946168291
